Gene,Description,BLAST_hit
Bo00285s070,,
Bo00285s080,,
Bo00285s100,,
Bo00285s160,,
Bo00285s250,,
Bo00285s330,B3 domain-containing protein REM9 (Auxin response factor 23) (Protein REPRODUCTIVE MERISTEM 9),REM9 ARF23 At4g31690 F28M20.120
Bo00285s400,Proline-rich receptor-like protein kinase PERK10 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 10) (AtPERK10),PERK10 At1g26150 F28B23.17
Bo00534s010,Putative disease resistance RPP13-like protein 1,RPPL1 At3g14470 MOA2.9
Bo00534s050,,
Bo00534s060,RGS1-HXK1-interacting protein 1,RHIP1 At4g26410 M3E9.160
Bo00534s130,,
Bo00534s140,,
Bo00534s170,E3 ubiquitin-protein ligase CCNB1IP1 homolog (EC 2.3.2.27) (RING finger-containing protein HEI10) (RING-type E3 ubiquitin transferase HEI10),HEI10 At1g53490 F22G10.16 T3F20.19
Bo00578s170,,
Bo00579s080,Zinc finger protein CONSTANS-LIKE 15,COL15 At1g28050 F13K9.15
Bo00579s180,ABC transporter B family member 14 (ABC transporter ABCB.14) (AtABCB14) (Multidrug resistance protein 12) (P-glycoprotein 14),ABCB14 MDR12 PGP14 At1g28010 F13K9.11
Bo00613s120,,
Bo00613s180,Protein LHCP TRANSLOCATION DEFECT (Protein GRANA-DEFICIENT CHLOROPLAST 1),LTD GDC1 At1g50900 F8A12.12
Bo00613s190,Protein LHCP TRANSLOCATION DEFECT (Protein GRANA-DEFICIENT CHLOROPLAST 1),LTD GDC1 At1g50900 F8A12.12
Bo00615s170,50S ribosomal protein L29 chloroplastic (CL29),RPL29 At5g65220 MQN23.16
Bo00615s200,,
Bo00616s100,,
Bo00616s120,,
Bo00616s130,Putative uncharacterized protein ART2 (Antisense to ribosomal RNA transcript protein 2),ART2 YLR154W-A YLR154W-C
Bo00629s240,,
Bo00641s050,6-phosphogluconate dehydrogenase decarboxylating 1 chloroplastic (EC 1.1.1.44),PGD1 At1g64190 F22C12.5
Bo00673s150,Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39),rbcL
Bo00673s190,Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39),rbcL
Bo00679s100,Zinc finger protein BRUTUS (Protein EMBRYO DEFECTIVE 2454),BTS EMB2454 At3g18290 MIE15.8
Bo00686s020,,
Bo00686s080,Probable ATP-dependent DNA helicase CHR12 (EC 3.6.4.12) (Protein CHROMATIN REMODELING 12) (AtCHR12) (Protein MINUSCULE 1),CHR12 MINU1 At3g06010 F2O10.3
Bo00692s120,Putative DNA-binding protein At1g48610 (AT-hook DNA-binding motif-containing protein At1g48610),At1g48610 T1N15.24
Bo00706s040,Probable metal-nicotianamine transporter YSL7 (Protein YELLOW STRIPE LIKE 7) (AtYSL7),YSL7 At1g65730 F1E22.10
